Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Year,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,binaryClass
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,re,2550.0,14.59,8.68,100.0,3.0,2.0,4.0,3.0,3.0,0
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ov,1521.0,10.22,8.32,100.0,3.0,1.8,3.0,3.0,3.0,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ni,2547.0,20.8,10.23,13.0,3.0,3.0,3.0,2.5,3.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,rd,1524.0,9.0,6.8,100.0,2.0,1.5,2.0,4.0,3.5,0
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,fr,1487.0,15.07,7.17,10.0,4.0,4.0,3.3,3.0,2.0,1
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,am,2560.0,11.66,7.27,100.0,3.0,3.0,2.0,3.0,2.0,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,nd,2635.0,20.4,10.2,10.0,3.3,4.5,3.3,4.0,3.5,1
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ov,2571.0,22.03,19.34,50.0,4.0,2.5,3.3,3.3,3.0,0
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,3267.0,16.63,7.59,?,?,?,?,?,?,0
Cra,3,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,rd,1524.0,12.39,5.55,80.0,3.0,2.5,2.0,2.0,2.0,0
Wen,1,Central_Poverty_Bay,N98_539/567,82__32,150,1750,-2,1986,ra,?,24.0,10.96,?,?,?,?,?,?,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2574.0,11.62,7.4,33.0,3.0,3.0,3.5,3.5,3.3,0
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,rd,1524.0,8.23,6.5,70.0,2.0,2.0,3.3,4.0,3.5,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,jo,1595.0,8.0,4.9,88.0,3.5,1.5,4.0,4.0,4.0,0
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,pa,2750.0,1.38,1.53,13.0,1.0,1.0,3.0,3.0,3.0,0
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,nd,2569.0,19.44,15.38,75.0,4.5,3.5,3.5,4.0,3.0,0
Mor,1,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,3269.0,24.72,11.29,?,?,?,?,?,?,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,re,2550.0,7.84,3.34,38.0,2.0,2.3,1.5,2.0,2.0,0
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,1788.0,13.07,8.12,14.0,1.5,1.5,2.0,3.0,3.0,0
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,pu,2573.0,1.48,2.96,13.0,1.0,3.0,3.0,3.0,3.0,0
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,nd,1596.0,7.68,6.56,50.0,3.0,3.5,3.5,4.0,4.0,0
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,co,1520.0,18.45,9.96,40.0,4.0,3.0,3.5,4.0,3.5,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,fa,1482.0,2.37,2.73,50.0,1.0,3.0,3.0,3.0,3.0,0
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,si,2435.0,14.93,9.39,63.0,4.0,3.0,3.0,2.5,2.5,1
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,re,2428.0,10.9,9.8,4.0,3.0,2.5,2.0,3.0,4.0,0
