ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,binaryClass
1.99,8.0,223.0,521.0,208.0,74.0,5.3,1585,8.0,230.0,200,75.0,5.0,1555,7.9,158.0,327.0,120.0,75.0,1.1,1597,9.7,21.0,?,17.0,88.2,0.02,1708.0,31.3,40.0,78.0,86.7,?,90.6,?,91.8,0
1.23,8.2,316.0,743.0,280.0,72.1,6.5,2390,7.8,363.0,260,70.8,7.0,2460,8.1,169.0,408.0,112.0,76.8,0.3,2380,7.7,16.0,98.0,16.0,77.5,0.01,2210.0,53.4,56.9,96.4,90.5,76.0,94.9,86.8,94.3,0
0.7,7.5,166.0,393.0,242.0,55.4,5.3,958,7.7,206.0,256,54.7,5.5,982,7.7,135.0,260.0,96.0,79.2,0.4,1038,7.6,13.0,27.0,10.0,90.0,0.0,1082.0,34.5,62.5,93.6,90.4,89.6,92.2,93.1,95.9,0
0.75,8.1,187.0,488.0,216.0,55.6,6.5,2440,8.0,191.0,252,49.2,5.0,2340,7.9,130.0,304.0,66.0,72.7,0.2,2230,8.0,28.0,80.0,21.0,70.5,0.0,2190.0,31.9,73.8,96.0,78.5,73.7,85.0,83.6,90.3,0
0.7,7.9,168.0,303.0,148.0,66.2,2.5,1069,8.0,158.0,158,65.8,3.0,1070,7.9,92.0,248.0,74.0,86.5,0.4,1150,7.7,16.0,78.0,12.0,83.3,0.0,1244.0,41.8,53.2,88.3,82.6,68.5,90.5,74.3,91.9,0
7.3,7.6,176.0,333.0,178.0,64.0,3.5,1627,7.7,170.0,178,67.4,3.0,1684,7.6,?,247.0,106.0,77.4,0.2,1720,7.6,16.0,67.0,23.0,80.0,0.05,1799.0,?,40.4,95.0,?,72.9,90.9,79.9,?,1
10.7,8.1,247.0,525.0,264.0,71.2,6.3,1606,8.2,230.0,262,67.9,7.0,1598,8.1,148.0,339.0,126.0,74.6,0.8,1564,7.8,24.0,?,21.0,85.7,0.05,1455.0,35.7,51.9,88.6,83.8,?,90.3,?,92.0,0
2.5,7.7,135.0,304.0,222.0,46.8,3.5,1087,7.7,135.0,250,55.2,3.5,1143,7.8,107.0,260.0,96.0,72.9,0.2,1162,7.9,14.0,96.0,18.0,68.9,0.0,1169.0,20.7,61.6,94.3,86.9,63.1,89.6,68.4,91.9,0
3.4,7.8,214.0,941.0,304.0,53.3,6.5,1454,7.8,396.0,320,57.5,7.0,1528,7.8,107.0,243.0,106.0,67.9,0.2,1456,7.9,11.0,55.0,14.0,74.3,0.02,1324.0,73.0,66.9,97.9,89.7,77.4,94.9,94.2,95.4,0
1.14,7.8,199.0,380.0,244.0,55.7,5.0,1453,7.8,110.0,196,60.2,3.5,1430,7.8,104.0,204.0,116.0,72.4,1.5,1436,7.9,13.0,43.0,15.0,74.7,0.0,1458.0,5.5,40.8,57.1,87.5,78.9,93.5,88.7,93.9,0
3.5,7.9,190.0,374.0,192.0,70.8,6.5,1494,7.8,204.0,184,71.1,4.5,1462,7.7,121.0,259.0,100.0,82.0,0.5,1562,7.5,21.0,108.0,22.0,84.1,0.05,1596.0,40.7,45.7,88.9,82.6,58.3,88.9,71.1,88.5,0
1.6,7.9,?,478.0,204.0,64.7,6.0,1798,7.9,?,214,66.4,7.2,1814,7.9,?,365.0,120.0,70.0,2.5,1713,7.8,?,90.0,21.0,85.7,0.05,1568.0,?,43.9,65.3,?,75.3,?,81.2,89.7,0
7.9,8.1,233.0,456.0,214.0,67.3,6.0,1586,8.1,268.0,238,69.7,4.5,1672,8.0,114.0,260.0,74.0,81.1,0.2,1784,7.9,33.0,140.0,32.0,78.1,0.01,1839.0,57.5,68.9,95.6,71.1,46.2,85.8,69.3,85.0,0
18.2,8.1,168.0,334.0,196.0,65.3,7.0,2230,8.1,188.0,188,66.0,4.5,2110,8.2,133.0,210.0,74.0,78.4,0.2,2190,7.8,20.0,74.0,20.0,85.0,0.0,2320.0,29.3,60.6,95.6,85.0,64.8,88.1,77.8,89.8,0
1.2,7.9,191.0,356.0,192.0,62.5,7.0,1434,7.9,226.0,288,55.6,10.0,1427,7.7,130.0,257.0,84.0,71.4,0.1,1467,7.6,28.0,103.0,34.0,76.5,0.0,1469.0,42.5,70.8,99.0,78.5,59.9,85.3,71.1,82.3,0
0.7,7.8,31.0,81.0,208.0,20.2,0.8,715,7.8,32.0,246,25.2,1.5,714,7.8,?,80.0,233.0,20.2,0.7,712,7.9,3.0,25.0,12.0,73.3,0.0,831.0,?,5.3,53.3,?,68.8,90.3,69.1,94.2,0
8.7,7.5,133.0,346.0,274.0,46.0,?,1186,7.3,125.0,146,58.9,?,1203,7.1,113.0,196.0,74.0,73.0,?,1229,7.0,17.0,65.0,18.0,83.3,?,1272.0,9.6,49.3,?,85.0,66.8,87.2,81.2,93.4,0
1.0,7.5,126.0,397.0,188.0,67.0,5.0,1950,7.5,121.0,190,63.2,3.5,1760,7.6,75.0,190.0,68.0,72.1,0.2,1720,7.7,16.0,101.0,15.0,61.3,0.0,1570.0,38.0,64.2,95.7,78.7,46.8,87.3,74.6,92.0,0
1.3,7.6,172.0,394.0,226.0,51.3,5.5,1324,7.6,197.0,302,47.0,4.0,1306,7.7,119.0,257.0,92.0,65.2,0.2,1368,7.8,14.0,74.0,13.0,70.8,0.0,1418.0,39.6,69.5,96.3,88.2,71.2,91.9,81.2,94.2,0
?,7.7,247.0,361.0,286.0,51.0,4.5,1180,7.7,146.0,212,56.4,2.5,1251,7.7,135.0,248.0,134.0,52.2,0.6,1144,7.9,11.0,56.0,10.0,78.0,0.0,1222.0,7.5,36.8,76.0,91.9,77.4,95.5,84.5,96.5,0
2.0,7.8,77.0,256.0,248.0,30.6,2.5,910,7.9,71.0,270,28.9,3.0,931,7.9,26.0,120.0,71.0,45.1,0.3,917,8.0,7.0,62.0,9.0,93.3,0.0,919.0,63.4,73.7,90.0,73.1,48.3,90.9,75.8,96.4,0
6.25,8.1,185.0,401.0,156.0,79.5,4.0,1513,8.2,170.0,224,73.2,5.5,1593,8.1,149.0,296.0,86.0,90.7,0.4,1653,7.8,24.0,97.0,22.0,90.9,0.01,1682.0,12.4,61.6,92.7,83.9,67.2,87.0,75.8,85.9,0
5.97,8.1,?,188.0,128.0,67.2,2.0,1465,8.1,?,158,55.7,2.0,1489,7.9,?,176.0,80.0,80.0,0.3,1435,7.8,?,59.0,24.0,73.3,0.02,1566.0,?,49.4,85.0,?,66.5,?,68.6,81.3,1
1.73,7.4,167.0,333.0,242.0,66.1,4.5,1960,7.6,211.0,202,67.3,4.5,2090,7.7,106.0,274.0,80.0,87.5,0.1,1942,7.7,12.0,73.0,14.0,78.6,0.01,1788.0,49.8,60.4,97.8,88.7,73.4,92.8,78.1,94.2,0
3.1,7.9,228.0,486.0,184.0,69.6,4.5,1912,8.0,209.0,214,69.2,4.0,1867,8.0,145.0,297.0,100.0,78.0,0.5,1889,7.8,24.0,86.0,16.0,81.3,0.02,1888.0,30.6,53.3,88.8,83.4,71.0,89.5,82.3,91.3,0
0.27,7.9,170.0,332.0,226.0,64.6,5.4,1219,7.9,163.0,272,58.8,5.5,1223,7.9,94.0,192.0,78.0,76.9,0.2,1134,7.8,21.0,24.0,18.0,83.3,0.02,1105.0,42.3,71.3,96.4,77.7,87.5,87.6,92.8,92.0,0
0.47,7.6,132.0,304.0,148.0,64.9,2.0,939,7.7,147.0,156,61.5,1.8,974,7.8,80.0,155.0,62.0,77.4,0.1,1008,7.9,14.0,42.0,13.0,83.1,0.01,1012.0,45.6,60.3,94.4,82.5,72.9,89.4,86.2,91.2,0
0.65,7.9,188.0,434.0,126.0,66.7,2.5,2450,8.1,159.0,156,67.9,3.0,2680,8.2,139.0,422.0,90.0,71.1,1.0,2950,7.8,22.0,155.0,28.0,78.6,0.05,2740.0,12.6,42.3,66.7,84.2,63.3,88.3,64.3,77.8,1
1.25,7.5,164.0,353.0,218.0,61.5,4.5,1535,7.6,185.0,244,58.2,5.0,1489,7.7,107.0,229.0,80.0,75.0,0.2,1573,7.6,15.0,59.0,14.0,71.4,0.02,1679.0,42.2,67.2,97.0,86.0,74.2,90.9,83.3,93.6,0
0.7,7.6,156.0,364.0,194.0,63.9,5.5,1680,7.6,169.0,222,55.9,5.0,1637,7.6,89.0,?,86.0,60.5,0.3,1537,7.7,21.0,64.0,18.0,77.8,0.01,1840.0,47.3,61.3,94.0,76.4,?,86.5,82.4,90.7,0
7.6,7.9,204.0,469.0,212.0,75.5,5.0,1145,7.9,252.0,246,70.7,6.5,1186,8.1,154.0,257.0,90.0,84.4,0.3,1172,7.8,18.0,20.0,14.0,88.6,0.0,1249.0,38.9,63.4,96.2,88.3,92.2,91.2,95.7,93.4,0
0.4,7.6,217.0,315.0,400.0,59.0,3.5,2080,7.5,225.0,376,64.9,4.0,2090,7.4,131.0,215.0,67.0,77.6,0.1,2190,7.5,22.0,81.0,28.0,71.4,0.05,2170.0,41.8,82.2,97.5,83.2,62.3,89.9,74.3,93.0,1
7.0,7.7,257.0,667.0,1016.0,31.5,22.0,1478,7.8,212.0,572,36.4,12.5,1422,7.9,135.0,210.0,108.0,57.4,0.2,1358,8.0,16.0,56.0,15.0,73.3,0.0,1378.0,36.3,81.1,98.4,88.1,73.3,93.8,91.6,98.5,0
1.4,7.9,165.0,470.0,170.0,76.5,4.0,1365,7.9,?,192,70.8,4.5,1399,7.9,156.0,368.0,96.0,72.9,0.3,1338,7.6,22.0,97.0,18.0,80.6,0.0,1481.0,?,50.0,94.4,85.9,73.6,86.7,79.4,89.4,0
6.0,7.8,?,552.0,262.0,64.1,5.0,1603,7.8,?,320,67.5,6.5,1608,7.8,192.0,376.0,122.0,72.1,0.4,1668,7.5,21.0,76.0,26.0,84.6,0.05,1703.0,?,61.9,93.8,89.1,79.8,?,86.2,90.1,1
1.0,7.8,95.0,206.0,132.0,43.9,1.5,828,7.8,74.0,112,57.1,1.2,856,7.9,47.0,158.0,62.0,64.5,0.1,85,7.9,21.0,99.0,39.0,66.7,0.05,891.0,36.5,44.6,91.7,55.3,37.3,77.9,51.9,70.5,1
1.5,7.4,316.0,533.0,264.0,54.5,5.5,1361,7.4,352.0,344,46.5,6.5,1453,7.5,190.0,361.0,160.0,51.3,1.5,1518,7.5,39.0,150.0,54.0,74.1,0.1,1506.0,46.0,53.5,76.9,79.5,58.4,87.7,71.9,79.5,1
2.0,7.7,327.0,376.0,184.0,57.6,4.0,1226,7.7,287.0,236,45.8,3.5,1223,7.8,102.0,255.0,84.0,73.8,0.2,1199,7.8,15.0,47.0,13.0,69.2,0.0,1136.0,64.5,64.4,94.3,85.3,81.6,95.4,87.5,92.9,0
3.42,7.4,148.0,545.0,202.0,72.3,?,1337,7.4,138.0,272,62.5,?,1334,7.4,67.0,200.0,76.0,88.9,?,1283,7.4,11.0,163.0,11.0,90.9,?,1365.0,51.4,72.1,?,83.6,18.5,92.6,70.1,94.6,0
0.7,7.8,159.0,350.0,150.0,69.3,3.0,1304,7.8,192.0,160,75.0,2.5,1206,7.7,166.0,312.0,82.0,75.6,0.2,1276,7.7,41.0,152.0,41.0,79.3,0.02,1341.0,13.5,48.8,94.0,75.3,51.3,74.2,56.6,72.7,0
5.7,7.7,115.0,408.0,290.0,51.0,4.0,2150,7.7,139.0,198,67.7,2.5,2050,7.6,96.0,290.0,98.0,75.5,0.1,1924,7.5,20.0,118.0,46.0,75.7,0.01,2060.0,30.9,50.5,96.0,79.2,59.3,82.6,71.1,84.1,0
3.6,7.6,148.0,400.0,564.0,31.6,7.0,1554,7.6,235.0,798,28.6,11.0,1515,7.6,49.0,151.0,120.0,48.3,0.4,1259,7.7,11.0,54.0,9.0,80.0,0.0,1267.0,79.1,85.0,96.8,77.6,64.2,92.6,86.5,98.4,0
0.54,7.6,145.0,258.0,194.0,58.8,2.5,985,7.6,161.0,204,55.9,2.8,991,7.7,94.0,196.0,82.0,70.7,0.2,1050,7.8,19.0,55.0,20.0,88.0,0.01,1124.0,41.6,59.8,92.9,79.8,71.9,86.9,78.7,89.7,0
10.0,8.1,202.0,476.0,300.0,49.3,3.7,1636,8.0,206.0,252,50.8,3.5,1579,7.9,186.0,394.0,108.0,72.2,1.3,1413,7.5,27.0,75.0,22.0,90.9,0.05,1291.0,9.7,57.1,62.9,85.5,81.0,86.6,84.2,92.7,1
2.42,7.7,123.0,246.0,186.0,39.8,2.5,1288,7.7,241.0,300,25.3,4.5,1328,7.7,101.0,202.0,86.0,37.2,0.2,1287,7.7,12.0,70.0,15.0,56.0,0.02,1317.0,58.1,71.3,95.6,88.1,65.3,90.2,71.5,91.9,0
1.5,8.3,181.0,348.0,184.0,84.8,4.5,1337,8.3,278.0,200,78.0,5.5,1479,8.3,124.0,264.0,76.0,89.5,0.2,1544,7.8,21.0,48.0,19.0,90.5,0.0,1605.0,55.4,62.0,96.4,83.1,81.8,88.4,86.2,89.7,0
1.97,7.3,129.0,237.0,234.0,38.5,1.5,1190,7.4,123.0,228,42.1,2.0,1202,7.4,73.0,175.0,110.0,34.5,0.2,1309,7.5,7.0,66.0,19.0,63.2,0.02,1631.0,40.7,51.8,90.0,90.4,62.3,94.6,72.2,91.9,1
0.6,8.0,216.0,529.0,248.0,61.3,6.3,1179,8.0,429.0,220,65.5,5.0,1294,7.8,140.0,337.0,138.0,63.8,1.5,1155,7.7,23.0,94.0,22.0,84.1,0.0,1107.0,67.4,37.3,70.0,83.6,72.1,89.4,82.2,91.1,0
0.58,7.7,214.0,467.0,242.0,61.2,4.5,1171,7.8,218.0,318,55.3,6.0,1205,7.7,132.0,300.0,116.0,67.2,0.2,1312,7.7,22.0,86.0,22.0,81.8,0.05,1333.0,39.4,63.5,96.7,83.3,71.3,89.7,81.6,90.9,1
6.2,8.1,222.0,662.0,252.0,68.3,6.5,1734,8.2,250.0,310,7.1,7.3,1733,8.2,175.0,346.0,104.0,78.8,0.6,1789,7.8,24.0,86.0,25.0,96.0,0.07,1821.0,30.0,66.5,91.7,86.3,75.1,89.2,87.0,90.1,1
3.7,7.3,80.0,204.0,180.0,32.2,1.8,940,7.4,84.0,198,34.3,1.5,912,7.5,45.0,125.0,74.0,45.9,0.3,863,7.4,10.0,51.0,10.0,80.0,0.0,683.0,46.4,62.6,80.0,77.8,59.2,87.5,75.0,94.4,0
3.0,7.6,115.0,272.0,266.0,38.4,2.5,1418,7.7,117.0,290,40.0,3.5,1385,7.7,75.0,248.0,84.0,69.1,0.2,1446,7.6,18.0,52.0,18.0,68.9,0.02,1498.0,35.9,71.0,95.7,76.0,79.0,84.3,80.9,93.2,0
1.7,7.8,170.0,401.0,158.0,67.1,4.0,1292,7.8,184.0,172,69.8,3.5,1413,7.8,167.0,345.0,102.0,74.5,0.7,1568,7.5,26.0,87.0,27.0,77.8,0.05,1635.0,9.2,40.7,80.0,84.4,74.8,84.7,78.3,82.9,1
2.0,8.1,255.0,550.0,214.0,69.2,5.5,1919,8.2,227.0,246,67.5,8.0,1917,8.1,161.0,372.0,100.0,78.0,0.2,1815,7.8,18.0,87.0,22.0,81.8,0.0,1690.0,29.1,59.3,97.5,88.8,76.6,92.9,84.2,89.7,0
6.5,7.8,143.0,400.0,472.0,?,6.5,2230,7.8,95.0,226,?,4.0,2160,7.8,97.0,235.0,74.0,?,0.3,2170,7.8,14.0,82.0,12.0,?,0.02,1910.0,?,67.3,93.8,85.6,65.1,90.2,79.5,97.5,0
1.2,8.0,203.0,469.0,264.0,65.2,5.2,1489,8.1,?,304,65.8,8.5,1690,7.9,155.0,361.0,100.0,80.0,0.4,1718,7.5,23.0,97.0,38.0,88.4,0.05,1716.0,?,67.1,95.3,85.2,73.1,88.7,79.3,85.6,1
5.9,8.4,215.0,440.0,190.0,69.5,?,1380,8.3,228.0,228,67.5,?,1408,8.1,113.0,213.0,78.0,76.9,?,1362,7.8,9.0,60.0,13.0,76.9,?,1379.0,50.4,65.8,?,92.0,71.8,95.8,86.4,93.2,0
1.4,7.5,184.0,219.0,148.0,62.2,3.0,1530,7.5,189.0,146,60.3,2.0,1553,7.5,92.0,192.0,78.0,76.9,0.3,1560,7.5,18.0,37.0,22.0,72.7,0.02,1100.0,51.3,46.6,85.0,80.4,80.7,90.2,83.1,85.1,0
6.3,7.7,146.0,375.0,244.0,57.4,4.0,1413,7.8,158.0,280,55.7,6.5,1486,7.7,116.0,282.0,96.0,81.3,0.7,1449,7.6,23.0,112.0,32.0,82.5,0.01,1410.0,26.6,65.7,89.2,80.2,60.3,84.2,70.1,86.9,0
1.2,8.4,134.0,302.0,208.0,57.7,3.3,1160,8.0,159.0,276,60.9,3.5,1201,8.0,116.0,233.0,80.0,77.5,0.2,1264,7.9,16.0,66.0,20.0,80.0,0.0,1333.0,27.0,71.0,94.3,86.2,71.7,88.1,78.1,90.4,0
1.25,7.7,145.0,382.0,168.0,54.8,3.5,1814,7.9,180.0,184,56.5,3.0,1820,8.1,113.0,271.0,70.0,65.7,0.2,1893,8.1,15.0,88.0,15.0,73.3,0.0,1879.0,37.2,62.0,95.0,86.7,67.5,89.7,77.0,91.1,0
6.6,7.8,151.0,485.0,198.0,71.7,3.5,1535,7.7,140.0,156,61.5,4.0,1528,7.7,102.0,283.0,78.0,76.7,0.1,1571,7.6,13.0,101.0,14.0,76.8,0.01,1605.0,27.1,50.0,97.5,87.3,64.3,91.4,79.2,92.9,0
0.7,7.9,189.0,478.0,230.0,67.0,5.5,1410,8.1,173.0,192,62.5,5.0,1406,7.7,172.0,412.0,104.0,71.2,0.4,1562,7.6,152.0,306.0,131.0,79.6,3.5,1575.0,0.6,45.8,92.0,11.6,25.7,19.6,36.0,43.0,1
12.5,7.8,161.0,326.0,268.0,44.8,4.5,1570,7.9,152.0,208,54.8,5.0,1640,7.9,76.0,173.0,74.0,64.9,0.2,1690,7.8,23.0,111.0,26.0,76.9,0.0,1720.0,50.0,64.4,97.0,69.7,35.8,85.7,66.0,90.3,0
1.2,7.6,199.0,466.0,186.0,74.2,4.5,1220,7.5,225.0,176,81.8,4.0,1208,7.5,139.0,314.0,94.0,87.2,0.2,1315,7.4,21.0,122.0,25.0,84.0,0.02,1411.0,38.2,46.6,95.0,84.9,61.1,89.4,73.8,86.6,0
8.2,8.1,199.0,486.0,240.0,68.3,9.0,1605,8.1,259.0,352,68.2,13.2,1684,8.1,168.0,394.0,116.0,75.9,0.4,1679,7.7,31.0,147.0,28.0,85.7,0.03,1770.0,35.1,67.0,97.0,81.5,62.7,84.4,69.8,88.3,0
0.8,7.7,215.0,447.0,164.0,61.0,5.5,1177,7.7,258.0,256,53.1,5.0,1207,7.9,141.0,285.0,86.0,69.8,0.2,1324,7.7,19.0,75.0,32.0,77.1,0.02,1390.0,45.3,66.4,96.0,86.5,73.7,91.2,83.2,80.5,0
4.1,7.8,133.0,295.0,158.0,55.7,3.0,1436,7.9,140.0,158,54.4,2.5,1448,7.9,92.0,206.0,74.0,73.0,0.3,1370,7.7,14.0,66.0,12.0,75.0,0.0,1203.0,34.3,53.2,88.0,84.8,68.0,89.5,77.6,92.4,0
